tweets,author,date,likes,retweets,hashtags,linked_accounts,urls,id,tweet_type
"@wiedernichtgan1 @katarinabarley @zdf Hi, wiedernichtganzwahr!
Es ist offensichtlich, dass Hartz IV von gestern ist.
Deshalb ist unsere Antwort: Ein neuer Sozialstaat für die BRD mit einer Grundrente ohne Bedürftigkeitsüberprüfung. 
https://t.co/EU0RIHkISH",spdde,2019-05-22 22:22:18,0,0,,"wiedernichtgan1, katarinabarley, ZDF",https://t.co/EU0RIHkISH,1131324433459810305,tweet
"@paulwal97169800 @katarinabarley @zdf @gazpromde Hi, …📌…!
wir ringen um ein soziales und gerechtes Europa für alle! 😉👍🇪🇺
https://t.co/PbmUhKi60D",spdde,2019-05-22 22:19:10,0,0,,"PaulWal97169800, katarinabarley, ZDF, GazpromDE",https://t.co/PbmUhKi60D,1131323643613634561,tweet
"@kala246 @katarinabarley Hi, Ka!
Vielleicht schläfst du noch einmal eine Nacht darüber 😉👍
https://t.co/1Vsloa5gPD
💪💪💪💪",spdde,2019-05-22 22:17:04,0,0,,"KaLa246, katarinabarley",https://t.co/1Vsloa5gPD,1131323114686746624,tweet
"@akitzi @katarinabarley @zdf Hi, a.kitzberger_fotografie!
wir konnten dieses Jahr einiges auf den Weg bringen. Vielleicht überlegst du es dir noch einmal 😉👍
https://t.co/1Vsloa5gPD
💪💪💪💪",spdde,2019-05-22 22:16:09,0,0,,"AKitzi, katarinabarley, ZDF",https://t.co/1Vsloa5gPD,1131322885300207616,tweet
"@coernli @katarinabarley @zdf Hi, Mike!
https://t.co/M2FPBbeL3y 👍",spdde,2019-05-22 22:14:41,0,0,,"Coernli, katarinabarley, ZDF",https://t.co/M2FPBbeL3y,1131322514498621441,tweet
"@berndfachinsson @katarinabarley @zdf Hi, Fach-Ing.!
wieso soll Klimaschutz populistischer Nonsense sein? Uns ist unser Klima und unsere Gesundheit sehr wichtig. 😊",spdde,2019-05-22 22:12:11,0,0,,"berndfachinsson, katarinabarley, ZDF",,1131321885508218880,tweet
"@nele90 @nnfr19 @katarinabarley @zdf Hi, Elena!
Wir freuen uns immer über neue Gesichter in unserer Partei, die uns mit ihrer Fachkompetenz unter die Arme greifen. :)
https://t.co/vWUye89hpb",spdde,2019-05-22 22:09:46,0,0,,"Nele90, katarinabarley, ZDF",https://t.co/vWUye89hpb,1131321277304721409,tweet
"@tobias_ppunkt @spdbt Wir können nur dann unsere Ziele umsetzen, wenn wir auch die nötige Mehrheit dazu haben. Deshalb: SPD wählen :)",spdde,2019-05-22 20:34:19,0,0,,"tobias_ppunkt, spdbt",,1131297257322668043,tweet
@the_thirt_man @larsklingbeil @cdu @akk Wir wollen dafür die Finanztransaktionssteuer &amp; die Möwenpicksteuer nutzen. Mehr Infos hier: https://t.co/q3SOnkR7OF,spdde,2019-05-22 20:32:46,0,0,,"The_Thirt_Man, larsklingbeil, CDU, akk",https://t.co/q3SOnkR7OF,1131296866879066113,tweet
"RT @katarinabarley: Wer Milliardenerträge erwirtschaftet, muss auch angemessen besteuert werden und seinen Teil für die Gesellschaft leiste…",spdde,2019-05-22 20:27:16,440,66,,katarinabarley,,1131295482221944834,retweet
"@_loumias_ @osmanirc89 @tagesschau @hubertus_heil Wir finden, dass Rezo in diesem Video zB. einige Punkte zu national gedacht hat. Schau dir mal hier das Video unseres Europaabgeordneten Tiemo Wölken an, der hat geantwortet :) https://t.co/izfGgcOSkp",spdde,2019-05-22 20:25:20,0,0,,"_Loumias_, OsmaniRC89, tagesschau, hubertus_heil",https://t.co/izfGgcOSkp,1131294995410018306,tweet
@larsklingbeil Was hat @larsklingbeil eigentlich vergangene Nacht gemacht? Wir stellen nur Fragen. https://t.co/fVXSElFd7a,spdde,2019-05-22 20:24:42,22,1,,"larsklingbeil, larsklingbeil",https://t.co/fVXSElFd7a,1131294836668157953,tweet
"RT @larsklingbeil: Jede Bäckerei und jede Buchhandlung zahlt mehr Steuern als Apple, Google und Co! Damit muss Schluss sein. Wer in Europa…",spdde,2019-05-22 20:22:29,523,110,,larsklingbeil,,1131294280868335616,retweet
RT @richelstauss: Was wir ausrichten: Schöne Grüße! https://t.co/lkc5av1CJM,spdde,2019-05-22 20:20:48,31,6,,richelstauss,,1131293854563471361,retweet
@mgschott3 @jsaville Geht's Ihnen gut? Können wir helfen?,spdde,2019-05-22 20:20:08,0,0,,"MGSchott3, jsaville",,1131293689626734592,tweet
@erzhngswndrlnd @captblwillard Na dann rechne doch mal vor :),spdde,2019-05-22 20:11:31,0,0,,"erzhngswndrlnd, CaptBLWillard",,1131291521200922624,tweet
"@ntifatima Schau mal, @michaelrueter :)",spdde,2019-05-22 20:09:50,2,0,,"ntifatima, MichaelRueter",,1131291097416781831,tweet
@pschemi @larsklingbeil WEIL WIR MEHRHEITEN BRAUCHEN. DESHALB: AM SONNTAG SPD WÄHLEN!!!,spdde,2019-05-22 20:07:49,0,0,,"Pschemi, larsklingbeil",,1131290590824599552,tweet
"@pschemi @lichtflechter @larsklingbeil Schau doch mal, was wir gerade alles umsetzen: https://t.co/1Vsloa5gPD",spdde,2019-05-22 20:07:25,0,0,,"Pschemi, lichtflechter, larsklingbeil",https://t.co/1Vsloa5gPD,1131290489943187456,tweet
"@mick_noir @lillyblaudszun @mirjam_fischer @volteuropa Wir kennen das Problem! Da können wir als SPD gerade aber leider zu wenig machen, das Verkehrsministerium ist nicht in unserer Hand.",spdde,2019-05-22 19:54:11,0,0,,"mick_noir, LillyBlaudszun, Mirjam_Fischer, VoltEuropa",,1131287156956303361,tweet
"@mick_noir @lillyblaudszun @mirjam_fischer @volteuropa Wir wollen die Grundrente einführen. Damit jeder Mensch, der 35 Jahre eingezahlt hat, im Alter vernünftig leben kann. Schau mal hier: https://t.co/q3SOnkR7OF",spdde,2019-05-22 19:53:11,0,0,,"mick_noir, LillyBlaudszun, Mirjam_Fischer, VoltEuropa",https://t.co/q3SOnkR7OF,1131286905293869056,tweet
@felixglueck @hubertus_heil Machen wir. Wir wollen einen Mindestlohn von über 12€. Dafür muss man Sonntag SPD wählen.,spdde,2019-05-22 19:48:28,0,0,,"FelixGlueck, hubertus_heil",,1131285719719305216,tweet
@swissman53 Wir stehen für klare Kante gegen Rechts. Keine Zusammenarbeit mit Rechtspopulisten und Rechtsextremisten!,spdde,2019-05-22 19:47:08,0,0,,swissman53,,1131285383667486720,tweet
@time_robber Kannst du uns das mal genauer erläutern?,spdde,2019-05-22 19:46:27,0,0,,time_robber,,1131285214116929537,tweet
"@12langbert @andreanahlesspd @hubertus_heil @olafscholz Die Grundrente steht im Koalitionsvertrag. Wir kämpfen jetzt dafür, dass sie ohne Bedürftigkeitsprüfung kommt.",spdde,2019-05-22 19:45:22,0,0,,"12langbert, AndreaNahlesSPD, hubertus_heil, OlafScholz",,1131284937590616071,tweet
@_chris_br @cjb_72 @andreanahlesspd @hubertus_heil @olafscholz Die SPD hat gegen Artikel 13 gestimmt. Geschlossen.,spdde,2019-05-22 19:44:53,0,0,,"_Chris_Br, CJB_72, AndreaNahlesSPD, hubertus_heil, OlafScholz",,1131284816605962241,tweet
"@swissman53 Schau mal, was wir gerade alles machen: https://t.co/1Vsloa5gPD
💪💪💪💪",spdde,2019-05-22 19:40:43,0,0,,swissman53,https://t.co/1Vsloa5gPD,1131283770861129728,tweet
"@timoessner @katarinabarley Wir nicht, wir wollen Hartz IV hinter uns lassen. Mehr Infos zu unserer Idee vom neuen Sozialstaat: https://t.co/rcVuWJlZy8",spdde,2019-05-22 19:38:16,0,0,,"TimoEssner, katarinabarley",https://t.co/rcVuWJlZy8,1131283154768146432,tweet
@achim72294676 Die Grundrente steht im Koalitionsvertrag.,spdde,2019-05-22 19:35:58,0,0,,achim72294676,,1131282572619767810,tweet
@paul__1_ @osmanirc89 @_loumias_ @tagesschau @hubertus_heil Wir wollen einen EU-weiten Mindestlohn von 60% des Medianlohns. Für Deutschland sind das über 12€. Deshalb: Sonntag SPD wählen :),spdde,2019-05-22 19:34:23,1,0,,"Paul__1_, OsmaniRC89, _Loumias_, tagesschau, hubertus_heil",,1131282174756478979,tweet
@friesenjens @faznet @katarinabarley Magst du das mal weiter ausführen? :),spdde,2019-05-22 19:32:15,0,0,,"friesenjens, faznet, katarinabarley",,1131281640544776192,tweet
@keutgens2 @faznet @katarinabarley Wie kommst du darauf?,spdde,2019-05-22 19:31:37,0,0,,"keutgens2, faznet, katarinabarley",,1131281480427200512,tweet
@salome74397310 @faznet @katarinabarley Für 80 Seiten Wahlprogramm hier entlang: https://t.co/6KdSmyPwN5,spdde,2019-05-22 19:31:11,0,0,,"Salome74397310, faznet, katarinabarley",https://t.co/6KdSmyPwN5,1131281368900620288,tweet
@aopfolter @larsklingbeil Wir sind übrigens die größte Partei Deutschlands :) #servicetweet,spdde,2019-05-22 19:26:15,0,0,servicetweet,"aopfolter, larsklingbeil",,1131280126736556033,tweet
"@dav_oe @larsklingbeil Da hast du recht, deshalb ziehen wir die Finanztransaktionssteuer mit heran. Schau mal hier: https://t.co/q3SOnkR7OF",spdde,2019-05-22 19:25:27,0,0,,"dav_oe, larsklingbeil",https://t.co/q3SOnkR7OF,1131279925850386432,tweet
@the_thirt_man @larsklingbeil @cdu @akk Das soll durch Möwenpicksteuer und Finanztransaktionssteuer finanziert werden. Schau mal hier: https://t.co/q3SOnkR7OF,spdde,2019-05-22 19:25:03,0,0,,"The_Thirt_Man, larsklingbeil, CDU, akk",https://t.co/q3SOnkR7OF,1131279827758137345,tweet
"@naujokssabine @timmermanseu Niemand findet Quoten toll, aber es geht eben nicht anders, wenn man die Kultur in zB. Aufsichtsräten oder auch Parteien ändern will. Oder haben Sie da einen Vorschlag?",spdde,2019-05-22 19:23:48,0,0,,TimmermansEU,,1131279512933675008,tweet
@lucca08936022 Hätten wir die Mehrheiten dafür.,spdde,2019-05-22 19:17:31,0,0,,,,1131277931194572801,tweet
@tobias_ppunkt Schlafen hilft :),spdde,2019-05-22 19:16:55,0,0,,tobias_ppunkt,,1131277779323031552,tweet
"@achim72294676 Wir wollen eine Zukunft ohne Hartz IV, deshalb haben wir den neuen Sozialstaat entwickelt. Mehr Infos bekommst du hier: https://t.co/rcVuWJlZy8",spdde,2019-05-22 19:16:26,0,0,,achim72294676,https://t.co/rcVuWJlZy8,1131277658455719936,tweet
@pitfix1 Alles gut bei Ihnen?,spdde,2019-05-22 19:14:47,0,0,,PitFix1,,1131277244821889024,tweet
@mesutmustermann kannst du das weiter ausführen?,spdde,2019-05-22 19:13:25,0,0,,MesutMustermann,,1131276897457983489,tweet
@mgschott3 Hast du auch ein paar Belege oder bist du nur zum Pöbeln hier?,spdde,2019-05-22 19:12:32,0,0,,MGSchott3,,1131276674711130112,tweet
@paulpawlowski @katarinabarley Das wollen wir ändern.,spdde,2019-05-22 19:11:54,2,0,,"PaulPawlowski, katarinabarley",,1131276515415592960,tweet
@labionix @julsardi1 @katarinabarley Geht's Ihnen gut? Können wir helfen?,spdde,2019-05-22 19:11:35,1,0,,"labionix, julsardi1, katarinabarley",,1131276436885651456,tweet
"@schlumpfinche12 @katarinabarley Wie kommst du darauf, dass wir Volksverräter sind?",spdde,2019-05-22 19:09:56,0,1,,"Schlumpfinche12, katarinabarley",,1131276024149364742,tweet
@solarflare1966 @katarinabarley Der ESC ist doch großartig :),spdde,2019-05-22 19:09:24,0,0,,"solarflare1966, katarinabarley",,1131275888929181698,tweet
@alfonsmller4 @katarinabarley Unser Beileid.,spdde,2019-05-22 19:08:56,0,0,,"AlfonsMller4, katarinabarley",,1131275771618713602,tweet
"@abwgdevzik @katarinabarley @woelken. Moin, magst du das mal kurz erläutern?",spdde,2019-05-22 19:08:36,0,0,,"abwgdevzik, katarinabarley, woelken",,1131275687770431490,tweet
"@estagniol @katarinabarley @spd_arbeit_de @spdbt
Rückkehrrecht Teilzeit-Vollzeit, Kooperationsverbot, Modernisierung Infrastruktur, kostenlose Bildung Kita-Hochschule, Mietpreisbremse, Mindestrente &amp; -Azubivergütung, Mindestlohn, Parität KV-Beiträge, Musterfeststellungsklage....",spdde,2019-05-22 19:05:46,1,0,,"EStagniol, katarinabarley, SPD_Arbeit_DE, spdbt",,1131274973736312834,tweet
@tomie2014 @bergifrau00 @katarinabarley Wir finden´s super :),spdde,2019-05-22 19:04:36,0,0,,"tomie2014, bergifrau00, katarinabarley",,1131274680642367488,tweet
@zungenspatel @katarinabarley Kannst du das genauer ausführen? :),spdde,2019-05-22 19:04:18,1,0,,"zungenSpatel, katarinabarley",,1131274604364947458,tweet
@dirk_pietzsch @katarinabarley Uns geht's super.,spdde,2019-05-22 19:01:09,0,0,,"dirk_pietzsch, katarinabarley",,1131273810035040259,tweet
@npc_sam @katarinabarley Why?,spdde,2019-05-22 19:00:42,0,0,,"npc_sam, katarinabarley",,1131273699359842305,tweet
So. Und was machen wir heute Nacht schönes? #schönesteuern https://t.co/iF5u0ZbDXP,spdde,2019-05-22 19:00:20,24,2,schönesteuern,,https://t.co/iF5u0ZbDXP,1131273606728699905,tweet
@martinspu73 @katarinabarley Vielfältig und AfD in einem Satz. Funny!,spdde,2019-05-22 18:58:40,0,0,,"martinspu73, katarinabarley",,1131273188430798848,tweet
@gtr431 @katarinabarley Geht´s Ihnen gut? Können wir helfen? Arzt aufsuchen hilft.,spdde,2019-05-22 18:54:39,0,0,,"GTR431, katarinabarley",,1131272177087602688,tweet
@godewinnie @julsardi1 @anonymu90182173 @katarinabarley Blockparteien? Ernsthaft?,spdde,2019-05-22 18:54:13,1,0,,"godewinnie, julsardi1, anonymu90182173, katarinabarley",,1131272068199321600,tweet
@rstrohmi @katarinabarley Jetzt geht's in Europa erst so richtig los :),spdde,2019-05-22 18:53:36,0,0,,"rstrohmi, katarinabarley",,1131271910212476931,tweet
"@mesutmustermann Klar, in einer Koalition geht immer mehr, aber schau doch mal hier, was sich alleine 2019 alles ändert: 
https://t.co/1Vsloa5gPD",spdde,2019-05-22 18:51:03,1,0,,MesutMustermann,https://t.co/1Vsloa5gPD,1131271271759699969,tweet
"RT @spdde: .@larsklingbeil erklärt euch, warum wir Google und Co endlich ordentlich besteuern müssen! #EuropaistdieAntwort #schöneSteuern h…",spdde,2019-05-22 18:50:11,69,9,"EuropaistdieAntwort, schöneSteuern","spdde, larsklingbeil",,1131271050875035648,retweet
"@mesutmustermann Unsere Mitglieder haben entschieden, dass wir in dieser Großen Koalition Verantwortung übernehmen. Das war nie unser Ziel, trotzdem haben wir uns unter schwierigen Umständen bereit erklärt.",spdde,2019-05-22 18:50:07,0,0,,MesutMustermann,,1131271036656324609,tweet
RT @malueck: Was fürn geiler Scheiss... #schöneSteuern #EuropaistdieAntwort https://t.co/pGZauYmdSz,spdde,2019-05-22 18:49:55,9,1,"schöneSteuern, EuropaistdieAntwort",malueck,https://t.co/pGZauYmdSz,1131270983715840000,retweet
"„Tut mir leid, ich habe dich leider nicht verstanden.“ https://t.co/WxGrPVH2zO",spdde,2019-05-22 18:49:19,55,8,,,https://t.co/WxGrPVH2zO,1131270832444125184,tweet
"@mick_noir @lillyblaudszun @mirjam_fischer @volteuropa Hi, Mick! Wir wollen Hartz IV hinter uns lassen. Schau mal hier:  https://t.co/EU0RIHkISH",spdde,2019-05-22 18:42:54,0,0,,"mick_noir, LillyBlaudszun, Mirjam_Fischer, VoltEuropa",https://t.co/EU0RIHkISH,1131269219759337473,tweet
"@mesutmustermann Hi, Mesut! Kannst du das mal genauer ausführen?",spdde,2019-05-22 18:37:39,0,0,,MesutMustermann,,1131267899803541504,tweet
